index,Latitude,Longitude,Time Range,crime count,Occurrence of Crime
17172720,34.1232,-118.4416,12:30 AM - 01:00 AM,0,No
4173368,33.9886,-118.4464,01:30 AM - 02:00 AM,0,No
19964767,34.1778,-118.1664,06:30 AM - 07:00 AM,0,No
17544219,34.1318,-118.3057,06:00 AM - 06:30 AM,0,No
11956395,34.0579,-118.1991,09:00 AM - 09:30 AM,0,No
24831682,34.2559,-118.3252,03:30 PM - 04:00 PM,0,No
8718819,34.0389,-118.2619,06:30 PM - 07:00 PM,0,No
15085406,34.0889,-118.5099,02:00 AM - 02:30 AM,0,No
2521059,33.9601,-118.4503,01:00 PM - 01:30 PM,0,No
3651745,33.9806,-118.28399999999999,04:30 PM - 05:00 PM,0,No
22445451,34.2152,-118.5443,06:30 PM - 07:00 PM,0,No
22811369,34.2214,-118.4297,06:30 AM - 07:00 AM,0,No
9571652,34.0446,-118.3145,04:00 AM - 04:30 AM,0,No
20184362,34.18,-118.5099,12:00 PM - 12:30 PM,0,No
9750205,34.0454,-118.3258,04:00 AM - 04:30 AM,0,No
243983,33.736999999999995,-118.2653,03:00 AM - 03:30 AM,0,No
13566960,34.0714,-118.2574,05:00 PM - 05:30 PM,0,No
1581065,33.9383,-118.5943,04:00 PM - 04:30 PM,0,No
11762203,34.056999999999995,-118.3119,03:00 PM - 03:30 PM,0,No
7280389,34.0267,-118.2741,09:00 PM - 09:30 PM,0,No
4272243,33.9892,-118.1982,06:30 PM - 07:00 PM,0,No
21910739,34.2062,-118.4555,10:00 PM - 10:30 PM,0,No
4780510,33.9949,-118.4815,11:00 PM - 11:30 PM,0,No
7793209,34.0325,-118.5938,10:30 PM - 11:00 PM,0,No
21415388,34.1975,-118.3743,01:00 PM - 01:30 PM,0,No
12494878,34.0619,-118.2016,11:00 AM - 11:30 AM,0,No
23071885,34.2271,-118.3274,04:00 AM - 04:30 AM,0,No
7428368,34.0286,-118.2482,09:00 AM - 09:30 AM,0,No
15616794,34.098,-118.2387,05:00 AM - 05:30 AM,0,No
10472410,34.0487,-118.2938,05:30 AM - 06:00 AM,0,No
10652284,34.0499,-118.2923,08:00 AM - 08:30 AM,0,No
461246,33.7553,-118.25399999999999,05:30 PM - 06:00 PM,0,No
11632926,34.0559,-118.2032,01:30 AM - 02:00 AM,0,No
22789776,34.2198,-118.2877,08:00 PM - 08:30 PM,0,No
1164206,33.9271,-118.3675,08:00 AM - 08:30 AM,0,No
1337339,33.931999999999995,-118.4413,12:30 AM - 01:00 AM,0,No
5033712,33.9987,-118.4582,06:00 AM - 06:30 AM,0,No
22537130,34.2157,-118.2964,09:30 AM - 10:00 AM,0,No
17605708,34.1341,-118.4177,12:30 PM - 01:00 PM,0,No
21995312,34.2066,-118.322,08:30 AM - 09:00 AM,0,No
9826855,34.0457,-118.2886,12:30 AM - 01:00 AM,0,No
21771763,34.2047,-118.4063,12:00 AM - 12:30 AM,0,No
7274029,34.0267,-118.309,01:30 PM - 02:00 PM,0,No
18183445,34.1468,-118.3783,07:00 PM - 07:30 PM,0,No
17352790,34.1289,-118.4349,07:00 AM - 07:30 AM,0,No
2572454,33.9611,-118.2951,01:30 AM - 02:00 AM,0,No
6834806,34.023,-118.3988,09:30 AM - 10:00 AM,0,No
2728762,33.964,-118.1847,06:00 PM - 06:30 PM,0,No
11367490,34.0543,-118.3091,11:30 AM - 12:00 PM,0,No
16611323,34.1087,-118.3024,09:30 AM - 10:00 AM,0,No
3033200,33.9708,-118.3494,04:00 AM - 04:30 AM,0,No
18726265,34.1585,-118.3363,04:00 AM - 04:30 AM,0,No
18128415,34.1449,-118.2508,10:30 PM - 11:00 PM,0,No
760563,33.7866,-118.4586,04:30 AM - 05:00 AM,0,No
430225,33.7485,-118.1969,05:00 PM - 05:30 PM,0,No
25568254,34.2809,-118.5807,09:30 AM - 10:00 AM,0,No
7729272,34.032,-118.4373,02:00 PM - 02:30 PM,0,No
507561,33.7751,-118.4777,04:00 AM - 04:30 AM,0,No
7663572,34.0312,-118.3675,05:00 PM - 05:30 PM,0,No
6739508,34.0225,-118.2852,06:30 PM - 07:00 PM,0,No
18269182,34.1485,-118.2687,12:00 AM - 12:30 AM,0,No
4926055,33.9962,-118.4575,04:00 PM - 04:30 PM,0,No
13305813,34.069,-118.3197,09:30 AM - 10:00 AM,0,No
16313650,34.1048,-118.4084,10:00 PM - 10:30 PM,0,No
16832736,34.1129,-118.2696,07:30 AM - 08:00 AM,0,No
5094819,33.9988,-118.2456,09:30 AM - 10:00 AM,0,No
16986610,34.1159,-118.5657,05:30 AM - 06:00 AM,0,No
10095131,34.0471,-118.477,12:30 AM - 01:00 AM,0,No
20825491,34.1898,-118.2024,01:00 PM - 01:30 PM,0,No
13065013,34.0672,-118.2533,12:00 AM - 12:30 AM,0,No
61203,33.7288,-118.2821,04:30 AM - 05:00 AM,0,No
20345850,34.1835,-118.3017,10:00 AM - 10:30 AM,0,No
25044502,34.2657,-118.3524,05:30 PM - 06:00 PM,0,No
12848648,34.0647,-118.2586,11:30 AM - 12:00 PM,0,No
8000178,34.0336,-118.2652,01:00 PM - 01:30 PM,0,No
13152947,34.0678,-118.4192,10:00 PM - 10:30 PM,0,No
23583037,34.2332,-118.2717,05:30 PM - 06:00 PM,0,No
5090125,33.9988,-118.2729,12:30 PM - 01:00 PM,0,No
7838275,34.0326,-118.4227,07:00 PM - 07:30 PM,0,No
24635808,34.2538,-118.5443,03:00 AM - 03:30 AM,0,No
3115136,33.9721,-118.2739,11:30 AM - 12:00 PM,0,No
10567091,34.0495,-118.4269,05:00 PM - 05:30 PM,0,No
15466797,34.0962,-118.2767,06:30 PM - 07:00 PM,0,No
1591513,33.9383,-118.4063,11:00 PM - 11:30 PM,0,No
12998585,34.0669,-118.1754,03:00 PM - 03:30 PM,0,No
24203230,34.2463,-118.5906,08:00 AM - 08:30 AM,0,No
23880033,34.2434,-118.5928,07:00 PM - 07:30 PM,0,No
12560279,34.0625,-118.2665,11:00 PM - 11:30 PM,0,No
22402834,34.2147,-118.2427,01:00 AM - 01:30 AM,0,No
8868953,34.0399,-118.1848,03:00 AM - 03:30 AM,0,No
15744892,34.1004,-118.3463,04:30 PM - 05:00 PM,0,No
25292358,34.271,-118.3874,06:30 AM - 07:00 AM,0,No
19962947,34.1778,-118.2166,01:00 PM - 01:30 PM,0,No
16818335,34.1129,-118.3848,09:30 PM - 10:00 PM,0,No
19432751,34.17,-118.4586,06:30 PM - 07:00 PM,0,No
22409129,34.2148,-118.5552,11:00 PM - 11:30 PM,0,No
18861184,34.1603,-118.4322,06:30 PM - 07:00 PM,0,No
20813478,34.1898,-118.29700000000001,10:30 PM - 11:00 PM,0,No
12156707,34.0598,-118.3201,08:00 AM - 08:30 AM,0,No
15635125,34.0981,-118.3675,05:30 AM - 06:00 AM,0,No
1493260,33.936,-118.3063,11:30 AM - 12:00 PM,0,No
7191479,34.0265,-118.4288,04:30 AM - 05:00 AM,0,No
12456421,34.0618,-118.2424,05:30 AM - 06:00 AM,0,No
9354204,34.0436,-118.3368,02:30 PM - 03:00 PM,0,No
21236041,34.194,-118.3735,03:30 PM - 04:00 PM,0,No
23881708,34.2434,-118.5447,10:30 AM - 11:00 AM,0,No
1334570,33.931999999999995,-118.4643,02:30 AM - 03:00 AM,0,No
9775278,34.0455,-118.4442,03:00 PM - 03:30 PM,0,No
7525711,34.03,-118.3067,12:00 PM - 12:30 PM,0,No
16755112,34.1106,-118.3015,05:30 PM - 06:00 PM,0,No
10492350,34.049,-118.4517,11:30 AM - 12:00 PM,0,No
23351536,34.2299,-118.4089,04:30 AM - 05:00 AM,0,No
691929,33.7846,-118.4309,09:00 PM - 09:30 PM,0,No
3781469,33.9842,-118.413,06:30 PM - 07:00 PM,0,No
1377164,33.9345,-118.3953,08:30 AM - 09:00 AM,0,No
6051844,34.016,-118.3248,03:00 PM - 03:30 PM,0,No
18901548,34.1608,-118.3785,02:00 PM - 02:30 PM,0,No
16740935,34.1106,-118.4479,02:30 AM - 03:00 AM,0,No
5622683,34.01,-118.3063,01:00 PM - 01:30 PM,0,No
24847291,34.2559,-118.1996,06:00 PM - 06:30 PM,0,No
8164370,34.0352,-118.38600000000001,12:00 AM - 12:30 AM,0,No
19360514,34.1685,-118.4636,07:30 PM - 08:00 PM,0,No
23127249,34.228,-118.5552,03:00 AM - 03:30 AM,0,No
19294810,34.1683,-118.3992,08:30 PM - 09:00 PM,0,No
8390629,34.0367,-118.2877,12:30 AM - 01:00 AM,0,No
993230,33.8012,-118.2915,01:00 PM - 01:30 PM,0,No
12456258,34.0618,-118.243,06:00 PM - 06:30 PM,0,No
8773301,34.0395,-118.4049,11:00 PM - 11:30 PM,0,No
1686165,33.9392,-118.2104,08:00 PM - 08:30 PM,0,No
7659163,34.0312,-118.4184,09:30 PM - 10:00 PM,0,No
9765177,34.0454,-118.21600000000001,05:00 PM - 05:30 PM,0,No
20175780,34.1797,-118.24799999999999,09:30 PM - 10:00 PM,0,No
15904442,34.1016,-118.2352,09:00 AM - 09:30 AM,0,No
